Key,Value
historical,11399619.035184614
ssp126,11465145.830499537
ssp370,11468860.879701614
ssp585,11461918.385708697
historical_percentage_change_cf_historical,0.0
ssp126_percentage_change_cf_historical,0.5748156593012121
ssp370_percentage_change_cf_historical,0.6074048992627469
ssp585_percentage_change_cf_historical,0.5465037939583554
